epoch,train_loss,lr,s_per_step,epoch_seconds
1,5.913972121874491,0.00020066666666666667,1.1538105885187784,346.14317655563354
2,5.702798755963643,0.0004006666666666667,1.1322380797068279,339.67142391204834
3,5.611622322400411,0.0006006666666666667,1.12109503587087,336.328510761261
4,5.551901310284933,0.0008006666666666666,1.1130527226130167,333.91581678390503
5,5.4950782537460325,0.001,1.1104311736424763,333.1293520927429
6,5.422591576576233,0.0009991845519630679,1.1128749958674113,333.8624987602234
7,5.360064004262289,0.0009967408676742752,1.1124774018923442,333.74322056770325
8,5.304609800974528,0.0009926769179238466,1.1315322534243266,339.459676027298
9,5.265916380882263,0.0009870059584711668,1.1449677817026773,343.4903345108032
10,5.236538368860881,0.0009797464868072487,1.1397010906537375,341.9103271961212
11,5.193476026852926,0.0009709221818197624,1.1364243086179098,340.9272925853729
12,5.168320048650106,0.0009605618265574251,1.13880739291509,341.642217874527
13,5.14089822769165,0.0009486992143456792,1.1993515753746034,359.805472612381
14,5.0976439984639486,0.0009353730385598887,1.1463666717211405,343.91000151634216
15,5.072993788719177,0.0009206267664155906,1.2627341850598652,378.8202555179596
16,5.039839838345846,0.0009045084971874737,1.2021971972783407,360.6591591835022
17,5.010093458493551,0.0008870708053195413,1.188081005414327,356.4243016242981
18,4.970573611259461,0.0008683705689382025,1.187519320646922,356.25579619407654
19,4.9430923048655195,0.0008484687843276469,1.178053158124288,353.4159474372864
20,4.910875597000122,0.0008274303669726426,1.1797723563512166,353.931706905365
21,4.883485779762268,0.0008053239398177191,1.1774073044459026,353.22219133377075
22,4.853785192171733,0.0007822216094333848,1.170737801392873,351.22134041786194
23,4.842545008659362,0.000758198730819481,1.171644810040792,351.49344301223755
24,4.819311532974243,0.0007333336616128369,1.1756384746233621,352.69154238700867
25,4.797425719896952,0.0007077075065009433,1.1728810580571492,351.8643174171448
26,4.781635503768921,0.0006814038526753205,1.1277543155352274,338.32629466056824
27,4.756416702270508,0.0006545084971874737,1.068394676844279,320.5184030532837
28,4.736250003178914,0.0006271091670967436,1.061652094523112,318.4956283569336
29,4.719669197400411,0.0005992952333228728,1.058481092453003,317.5443277359009
30,4.701998365720113,0.0005711574191366427,1.0495983139673868,314.87949419021606
31,4.686849616368612,0.0005427875042394199,1.0485467902819317,314.56403708457947
32,4.6594881264368695,0.0005142780253968481,1.0498030773798626,314.94092321395874
33,4.639593914349874,0.0004857219746031519,1.0429426606496175,312.88279819488525
34,4.618556251525879,0.0004572124957605803,1.0437864343325296,313.1359302997589
35,4.598104308446248,0.0004288425808633575,1.0467049153645833,314.011474609375
36,4.582111886342367,0.00040070476667712743,1.0438478088378906,313.1543426513672
37,4.55641153494517,0.00037289083290325663,1.0438443605105083,313.15330815315247
38,4.5460430463155115,0.00034549150281252633,1.0485001985232036,314.55005955696106
39,4.532204813957215,0.00031859614732467957,1.0473577276865642,314.20731830596924
40,4.521455637613932,0.0002922924934990568,1.0447995646794637,313.4398694038391
41,4.513753237724305,0.00026666633838716316,1.0442061773935953,313.2618532180786
42,4.508589606285096,0.00024180126918051909,1.0472044364611308,314.16133093833923
