epoch,train_loss,val_macro_f1,lr,s_per_step,epoch_seconds
1,1.2554893684387207,0.41584633853541414,0.0001,0.04309471607208252,17.237886428833008
2,1.0587621879577638,0.15238095238095237,0.0001,0.018738473057746886,7.495389223098755
3,1.0139380478858948,0.29259259259259257,0.0001,0.019289446473121644,7.715778589248657
4,0.9885453903675079,0.27777777777777773,0.0001,0.01682119131088257,6.728476524353027
5,0.9629403562843799,0.32222222222222224,0.0001,0.018943338394165038,7.577335357666016
6,0.9444980442523956,0.6494708994708994,0.0001,0.015494309067726135,6.197723627090454
7,0.9332460406422615,0.36690140845070424,0.0001,0.01923515021800995,7.6940600872039795
8,0.9258234989643097,0.641331346249379,0.0001,0.01557376503944397,6.229506015777588
9,0.9113107138872146,0.43367003367003365,0.0001,0.019708579778671263,7.883431911468506
10,0.8964938230812549,0.5258138088326768,0.0001,0.01560379445552826,6.241517782211304
11,0.8893913201987743,0.48677248677248675,0.0001,0.019141205549240113,7.656482219696045
12,0.8867554225027561,0.4219576719576719,0.0001,0.01553135335445404,6.212541341781616
13,0.8722346702218056,0.7666028097062579,0.0001,0.01910932540893555,7.643730163574219
14,0.8652367809414864,0.6456391875746715,0.0001,0.015560116171836853,6.224046468734741
15,0.861162661164999,0.5473193473193473,0.0001,0.018874741196632384,7.549896478652954
16,0.8520755089819432,0.480885659920429,0.0001,0.016294281482696533,6.517712593078613
17,0.847463608533144,0.3708391936240038,0.0001,0.018039242029190064,7.215696811676025
18,0.8370129609107971,0.722567287784679,0.0001,0.01784103751182556,7.136415004730225
19,0.8302771198749542,0.7666028097062579,0.0001,0.016721051931381226,6.68842077255249
20,0.8277019847929478,0.89163038219642,0.0001,0.018005789518356324,7.202315807342529
21,0.8201466169953346,0.759557945041816,0.0001,0.015863692164421083,6.345476865768433
22,0.8221330291032791,0.7700691121743753,0.0001,0.019288896918296813,7.715558767318726
23,0.8100842030346393,0.45216598267213864,0.0001,0.01580553114414215,6.32221245765686
24,0.8030860187113285,0.5070938944683565,0.0001,0.019391692280769347,7.756676912307739
25,0.8010128296911716,0.4579124579124579,0.0001,0.01550420880317688,6.201683521270752
26,0.7884289115667343,0.8498538011695906,0.0001,0.01966574490070343,7.866297960281372
27,0.7873546929657459,0.46094008606421716,0.0001,0.015436887145042419,6.174754858016968
28,0.7805458186566829,0.44166666666666665,0.0001,0.019609426259994508,7.843770503997803
29,0.7705609402060509,0.524822695035461,0.0001,0.015641505122184752,6.256602048873901
30,0.7714178270101547,0.5454421768707483,0.0001,0.01945632874965668,7.782531499862671
