group,comparison,A,B,diff,ci_low,ci_high,P(A>B),resolved,primary,n_traces
P2-lab,C1 vs C2,C1,C2,0.15764705882352936,-0.03357414908409408,0.3233410714643079,0.946,False,True,11
P2-lab,C1 vs C3,C1,C3,0.0776470588235294,0.02948222286457583,0.12820631970260232,0.9995,True,True,11
P2-lab,C1 vs C3_ft,C1,C3_ft,0.08470588235294119,-0.05821917808219179,0.2211770127405801,0.8644,False,False,11
P2-lab,C1 vs C1_sharplike,C1,C1_sharplike,0.23529411764705876,0.09241706161137442,0.3986104569006122,1.0,True,False,11
P2-lab,C1 vs C1_aug,C1,C1_aug,0.028235294117647025,-0.023255813953488413,0.09239429706952683,0.7792,False,False,11
P2-lab,C1 vs C1_AdaBN,C1,C1_AdaBN,0.05882352941176472,-0.030727331327889927,0.19290762130665698,0.7914,False,False,11
P2-lab,C1 vs C1_T3A,C1,C1_T3A,-0.007058823529411784,-0.06130357219159933,0.047445564765557335,0.408,False,False,11
P2-lab,C1 vs C1_AdaBN_T3A,C1,C1_AdaBN_T3A,0.04705882352941171,-0.035445286898412975,0.14190826231663334,0.8389,False,False,11
P2-living,C1_s6out_aug vs C1_s6out,C1_s6out_aug,C1_s6out,0.07262569832402233,-0.028943236121446923,0.20251521988253832,0.894,False,False,15
